Car Model,Efficiency (Wh/km),Range (km),Battery (kWh),Price (GBP),Availability
Tesla Model 3 RWD,133.0,450.0,60.0,37990.0,Available
MG MG4 Electric 64 kWh,171.0,360.0,61.7,29745.0,Discontinued
BMW iX xDrive40,197.0,360.0,71.0,69905.0,Discontinued
CUPRA Born 150 kW - 58 kWh,166.0,350.0,58.0,34125.0,Discontinued
Fiat 500e Hatchback 42 kWh,159.0,235.0,37.3,20245.0,Available
XPENG L03 RWD Long Range,165.0,420.0,69.5,,Available
CUPRA Born 170 kW - 77 kWh,171.0,450.0,77.0,39625.0,Discontinued
BMW i3 50 xDrive,152.0,715.0,108.7,53005.0,Available
BMW iX3 50 xDrive,169.0,645.0,108.7,58755.0,Available
Mercedes-Benz CLA 250+,145.0,585.0,85.0,43250.0,Available
Kia EV3 Long Range,171.0,455.0,78.0,34555.0,Available
Volkswagen ID. Polo 155 kW - 52 kWh,154.0,335.0,51.7,26830.0,Available
Leapmotor B05 67.1 kWh,171.0,380.0,65.0,30495.0,Available
Tesla Model 3 Premium RWD,136.0,580.0,79.0,44990.0,Available
Tesla Model Y RWD,158.0,380.0,60.0,41990.0,Discontinued
Tesla Model Y Long Range AWD,169.0,445.0,75.0,51990.0,Discontinued
Hyundai IONIQ 3 61 kWh,155.0,375.0,58.0,25745.0,Available
Skoda Epiq 55,162.0,320.0,51.7,26200.0,Available
Volvo EX60 P12 AWD,184.0,610.0,112.0,64860.0,Available
BYD ATTO 2 64.8 kWh,191.0,340.0,64.8,34975.0,Available
Tesla Model Y Premium AWD,165.0,480.0,79.0,51990.0,Discontinued
Mercedes-Benz GLC 400 4MATIC,176.0,535.0,94.0,60350.0,Available
BMW iX5 60 xDrive,210.0,670.0,141.0,95000.0,
Kia Niro EV,168.0,385.0,64.8,37295.0,Discontinued
Leapmotor B10 67.1 kWh,181.0,360.0,65.0,31495.0,Available
Hyundai IONIQ 5 84 kWh RWD,178.0,450.0,80.0,43400.0,Available
BYD SEALION 7 91.3 kWh AWD Excellence,208.0,440.0,91.3,58990.0,Available
Zeekr 7GT Long Range RWD,175.0,555.0,97.0,,Available
Toyota C-HR+ 77 kWh,167.0,430.0,72.0,35495.0,Available
Renault 5 E-Tech 52kWh 150hp,155.0,335.0,52.0,23945.0,Available
Tesla Model 3 Long Range AWD,155.0,485.0,75.0,50990.0,Discontinued
Tesla Model Y Long Range AWD,165.0,455.0,75.0,51990.0,Discontinued
Tesla Model 3 Long Range RWD,136.0,550.0,75.0,44990.0,Discontinued
Leapmotor B03X 53.0 kWh,173.0,300.0,52.0,,Available
